Number,Title,Artists
1,Sweet Love,"Liviu Hodor, Mona"
2,I Like (The Trumpet),"Dj Sava, Raluka"
3,Drums,"AlexunderBase, Lys"
4,Stereo Love,"Edward Maya, Vika Jigulina"
5,Raisa,Fly Project
6,Toca Toca,Fly Project
7,Mandala,Fly Project
8,Ya Bb,Play &amp; Win
9,Mr. Saxobeat,Alexandra Stan
10,Chica Bomb,Dan Balan
11,Placeri Nevinovate,Like Chocolate
12,Musica,Fly Project
13,Goodbye,Fly Project
14,Music Makes Me Free,Deepcentral
15,Like a Star,Fly Project
16,Back in My Life - Radio Edit,Fly Project
17,Get Wet,Fly Project
18,So High,Fly Project
19,Bilionera,Otilia
20,Amo,Anda Adam
21,Bun ramas,"DJ Project, Adela"
22,Cola Song (feat. J Balvin),"INNA, J Balvin"
23,Bad Boys,INNA
24,Caliente - Radio Edit,INNA
25,Dragoste de inchiriat,Akcent
26,Doar Cu Tine,Activ
27,Sun Is Up - Play &amp; Win Radio Edit,INNA
28,Jameia,Antonia
29,Burning Love,Connect-R
30,Stay With Me - Radio Edit,Akcent
31,Tenerife,"Dj Sava, Misha"
32,Fara tine,"DJ Project, Adela"
33,Desire - Play &amp; Win Radio Edit,Morris
34,Disco Romancing - Video Edit,Elena
35,Show Me The Way,Alexandra Stan
36,Doar cu tine,Activ
37,Boro Na Sou Po,Alessia
38,Doar Tu Si Eu,Funky DJ's
39,Chica Bomb,Dan Balan
40,Different - Radio Edit,Sore
41,Monday,Jimmy Dub
42,Hot - Play &amp; Win Radio Version,INNA
43,Senorita,Allexinno &amp; Starchild
44,Mi Hermosa,Alex Mica
45,Stereo Love - Radio Edit,"Edward Maya, Vika Jigulina"
46,Tu Amor,"Emil Lassaria, Caitlyn"
47,Dj Vu,"Bob Taylor, INNA"
48,Amazing,INNA
49,Dalinda,Alex Mica
50,Love Is the Way,Connect-R
51,Lonely Heart - Radio Edit,Radio Killer
52,Ring the Alarm - Radio Edit,Connect-R
53,Dead Man Walking,Smiley
54,Deja Vu,"INNA, Bob Taylor"
55,Marabou,Antonia
56,My Beautiful One,"Xonia, Deepcentral"
57,Slow Motion,Play &amp; Win
58,My Passion,Akcent
59,Nu - video version,"DJ Project, Giulia"
60,Telephone,Andra
61,Sperante,"Sistem, Simona Nae"
62,Dragostea din tei,O-Zone
63,Beijo (Uh-La-La),Morandi
64,Missing You - Mixed,Mattyas
65,K-Tinne,Fly Project
66,Inca o noapte,DJ Project
67,Criminal,"Smiley, Kaan"
68,BLL - Be Le Le,"Red Blonde, Krem"
69,Soarele Meu,Mandinga
70,Baiat de bani gata,Ruby
71,Yamasha,Alex
72,Romanian Dance,Alantoza
73,7 zile 8 nopti,Demmo
74,Mamma mia (He's italiano),"Elena, Glance"
75,Danca Bonito,"Narcotic Sound, Christian D"
76,Tacata,Tacabro
77,Aroma,"Dj Sava, Raluka"
78,Autobronzant,Corina
79,Stinge Lumina,Ruby
80,On The Floor,"Jennifer Lopez, Pitbull"
81,Una Serenada,Mossano
82,Tu si eu,INNA
83,Señor Loco - Radio Edit,"Elena, Danny Mazo"
84,Kamelia,"Akcent, Lidia Buble, Ddy Nunes"
85,Shukar Sex,Gipsy Casual
86,Temptation,"David DeeJay, Dony"
