Number,Title,Artists
1,Redbone,Childish Gambino
2,No Role Modelz,J. Cole
3,rockstar (feat. 21 Savage),"Post Malone, 21 Savage"
4,Call Out My Name,The Weeknd
5,Congratulations,"Post Malone, Quavo"
6,Circles,Post Malone
7,The Hills,The Weeknd
8,After Hours,The Weeknd
9,After Party,Don Toliver
10,Space Cadet (feat. Gunna),"Metro Boomin, Gunna"
11,No Complaints (feat. Offset &amp; Drake) (Bonus),"Metro Boomin, Offset, Drake"
12,FRANCHISE (feat. Young Thug &amp; M.I.A.),"Travis Scott, Young Thug, M.I.A."
13,Pray 4 Love (feat. The Weeknd),"Travis Scott, The Weeknd"
14,Often,The Weeknd
15,Lemonade (Feat. Roddy Ricch &amp; Don Toliver) [Remix],"Internet Money, Don Toliver, Roddy Ricch"
16,This Is America,Childish Gambino
17,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee"
18,Wow.,Post Malone
19,Better Now,Post Malone
20,Bank Account,21 Savage
21,CAN'T SAY,Travis Scott
22,Save That Shit,Lil Peep
23,Blinding Lights (with ROSALÍA) - Remix,"The Weeknd, ROSALÍA"
24,goosebumps,Travis Scott
25,Chill Bill (feat. J. Davi$ &amp; Spooks),"Rob $tone, J. Davi$, J Spooks"
26,TKN (feat. Travis Scott),"ROSALÍA, Travis Scott"
27,6 Days,"Mahmut Orhan, Colonel Bagshot"
28,Whoopty,CJ
29,Overdose,"KAIBA, KAMAARA"
30,Love Galore (feat. Travis Scott),"SZA, Travis Scott"
31,SICKO MODE,Travis Scott
32,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi"
33,OUT WEST (feat. Young Thug),"JACKBOYS, Travis Scott, Young Thug"
34,BUTTERFLY EFFECT,Travis Scott
35,GATTI,"JACKBOYS, Pop Smoke, Travis Scott"
36,STARGAZING,Travis Scott
37,HIGHEST IN THE ROOM (feat. ROSALÍA &amp; Lil Baby) - REMIX,"Travis Scott, ROSALÍA, Lil Baby"
38,WHAT TO DO? (feat. Don Toliver),"JACKBOYS, Travis Scott, Don Toliver"
39,HUMBLE.,Kendrick Lamar
40,LOVE. FEAT. ZACARI.,"Kendrick Lamar, Zacari"
41,DNA.,Kendrick Lamar
42,All The Stars (with SZA),"Kendrick Lamar, SZA"
43,Ric Flair Drip (with Metro Boomin),"Offset, Metro Boomin"
44,Dark Knight Dummo (Feat. Travis Scott),"Trippie Redd, Travis Scott"
45,Euphoria (feat. Travis Scott &amp; Kaash Paige),"Don Toliver, Kaash Paige, Travis Scott"
46,YOSEMITE,Travis Scott
47,NO BYSTANDERS,Travis Scott
48,10 Freaky Girls (with 21 Savage),"Metro Boomin, 21 Savage"
49,No Idea,Don Toliver
50,Nonstop,Drake
51,GANG GANG,"JACKBOYS, Sheck Wes"
52,Cardigan,Don Toliver
53,For The Night (feat. Lil Baby &amp; DaBaby),"Pop Smoke, Lil Baby, DaBaby"
54,Hello (feat. A Boogie Wit da Hoodie),"Pop Smoke, A Boogie Wit da Hoodie"
55,Overdue (with Travis Scott),"Metro Boomin, Travis Scott"
56,Hot (Remix) [feat. Gunna and Travis Scott],"Young Thug, Travis Scott, Gunna"
57,REEL IT IN,Aminé
58,beibs in the trap,Travis Scott
59,Turks (with Gunna &amp; ft. Travis Scott),"NAV, Gunna, Travis Scott"
60,wonderful,Travis Scott
61,ZEZE (feat. Travis Scott &amp; Offset),"Kodak Black, Offset, Travis Scott"
62,Champion (feat. Travis Scott),"NAV, Travis Scott"
63,WAKE UP,Travis Scott
64,Mamacita (feat. Rich Homie Quan &amp; Young Thug),"Travis Scott, Rich Homie Quan, Young Thug"
65,Dior,Pop Smoke
66,Maria I'm Drunk (feat. Justin Bieber &amp; Young Thug),"Travis Scott, Justin Bieber, Young Thug"
67,WHATS POPPIN,Jack Harlow
68,Had Enough (feat. Quavo &amp; Offset),"Don Toliver, Offset, Quavo"
69,through the late night,Travis Scott
70,Blood On The Leaves,Kanye West
