1,Could You Be Loved,Bob Marley &amp; The Wailers
2,"Carolina, Carol Bela","Toquinho, Jorge Ben Jor"
3,Mas Que Nada - Radio Edit,"Sérgio Mendes, Black Eyed Peas"
4,Jamming,Bob Marley &amp; The Wailers
5,Mais Que Nada,Sergio Mendes &amp; Brasil '66
6,Me Gustas Tu,Manu Chao
7,Bongo Bong,Manu Chao
8,Right Down the Line,Gerry Rafferty
9,"Right On, Right On",Silicone Soul
10,Baianá,Barbatuques
11,Brazil,Declan McKenna
12,Ai Se Eu Te Pego,Michel Teló
13,Balada,Gusttavo Lima
14,Samba de Janeiro,Bellini
15,Sweat (A La La La La Long),Inner Circle
16,Rapp Snitch Knishes,"MF DOOM, Mr. Fantastik"
17,Berenice,Jorge Ben Jor
18,Bailando - Spanish Version,"Enrique Iglesias, Descemer Bueno, Gente De Zona"
19,"Oba, Lá Vem Ela","Jorge Ben Jor, Trio Mocoto"
20,Juless Edits,Shou
21,Tuyo (Narcos Theme) - A Netflix Original Series Soundtrack,Rodrigo Amarante
22,So Much Trouble In The World,Bob Marley &amp; The Wailers
23,Parado no Bailão,"MC L da Vinte, MC Gury"
24,Olha A Explosão,MC Kevinho
25,Is This Love,Bob Marley &amp; The Wailers
26,Sun Is Shining,Bob Marley &amp; The Wailers
27,La Gozadera (feat. Marc Anthony),"Gente De Zona, Marc Anthony"
28,Danza Kuduro,"Don Omar, Lucenzo"
29,Don't Worry Be Happy,Bobby McFerrin
30,Esta Cabron,"Ñejo, Gotay ""El Autentiko"""
31,Vibra,"Anuel AA, David Guetta"
32,Lambada - Original Version 1989,Kaoma
33,Contra La Pared,"Sean Paul, J Balvin"
34,Praise Jah In The Moonlight,YG Marley
35,Never Give Up (feat. ScrewDriver),"Inner Circle, Screw Driver"
36,Magalenha,Sérgio Mendes
37,Natural Mystic,Bob Marley &amp; The Wailers
38,Je ne t'aime plus,Manu Chao
39,Desaparecido,Manu Chao
40,Over the Rainbow,Israel Kamakawiwo'ole
41,And I Love Her,Santo &amp; Johnny
42,Mi Swing Es Tropical (feat. Tempo &amp; Candela Allstars),"Quantic, Nickodemus, Tempo, Candela All Stars"
43,Buffalo Soldier,Bob Marley &amp; The Wailers
44,Welcome To Jamrock,Damian Marley
45,Sunshine Reggae,Laid Back
46,Escape (The Pina Colada Song),Rupert Holmes
47,Bum Bum Tam Tam,"MC Fioti, Future, J Balvin, Stefflon Don, Juan Magán"
48,That's My Name,Akcent
49,Who Loves The Sun feat. Jo.Ke - Edit,"Nu, Jo.Ke"
50,Champagne Coast,Blood Orange
51,Ivy,Frank Ocean
